NAME;RATING;GROSS
Harry Potter and the Deathly Hallows: Part 1;77;295980000
Ponyo;77;15090000
Frost/Nxon;77;18590000
Paprka;77;880000
Changelng;77;35740000
Flpped;77;1750000
Ths s England;77;330000
Ex Machna;77;25440000
After the Weddng;77;410000
The Last Kng of Scotland;77;17610000
Zodac;77;33080000
Lucky Number Slevn;77;22490000
Joyeux Noel;77;1050000
Control;77;870000
Tangled;77;200820000
Black Book;77;4400000
Brokeback Mountan;77;83040000
3:10 to Yuma;77;53610000
Crash;77;54580000
Kung Fu Hustle;77;17110000
The Bourne Supremacy;77;176240000
The Machnst;77;1080000
Ray;77;75330000
Lost n Translaton;77;44590000
Harry Potter and the Goblet of Fre;77;290010000
Man on Fre;77;77910000
Coralne;77;75290000
The Last Samura;77;111110000
The Magdalene Ssters;77;4890000
Fndng Neverland;77;51680000
Good Bye Lenn!;77;4060000
n Amerca;77;15540000
Adaptaton.;77;22250000
Black Hawk Down;77;108640000
Road to Perdton;77;104450000
The Experment;77;140000
Blly Ellot;77;22000000
Hedwg and the Angry nch;77;3030000
The Count of Monte Crsto;77;54230000
Ocean's Eleven;77;183420000
Vampre Hunter D: Bloodlust;77;150000
O Brother Where Art Thou?;77;45510000
South Park: Bgger Longer & Uncut;77;52040000
Offce Space;77;10820000
Happness;77;2810000
Tranng Day;77;76630000
Run Lola Run;77;7270000
Rushmore;77;17110000
Open Your Eyes;77;370000
Beng John Malkovch;77;22860000
Taste of Cherry;77;310000
As Good as t Gets;77;148480000
The Ffth Element;77;63540000
Le D̨ner de Cons;77;4070000
Donne Brasco;77;41910000
Shne;77;35810000
Prmal Fear;77;56120000
Hamlet;77;4410000
Sense and Sensblty;77;43180000
A Lttle Prncess;77;10020000
l Postno;77;21850000
Clerks;77;3150000
What's Eatng Glbert Grape;77;9170000
Short Cuts;77;6110000
Phladelpha;77;77320000
The Muppet Chrstmas Carol;77;27280000
Malcolm X;77;48170000
The Last of the Mohcans;77;75510000
Glengarry Glen Ross;77;10730000
A Few Good Men;77;141340000
Nght on Earth;77;2020000
Fred Green Tomatoes;77;82420000
Barton Fnk;77;6150000
Mller's Crossng;77;5080000
Who Framed Roger Rabbt;77;156450000
The Last Emperor;77;43980000
Evl Dead ;77;5920000
Empre of the Sun;77;22240000
The Name of the Rose;77;7150000
Down by Law;77;1440000
Blue Velvet;77;8550000
The Purple Rose of Caro;77;10630000
After Hours;77;10600000
Zelg;77;11800000
The Verdct;77;54000000
Star Trek : The Wrath of Khan;77;78910000
Frst Blood;77;47210000
Ordnary People;77;54800000
Arplane!;77;83400000
Halloween;77;47000000
The Tenant;77;1920000
The Takng of Pelham One Two Three;77;2490000
Blazng Saddles;77;119500000
Serpco;77;29800000
Enter the Dragon;77;25000000
Delverance;77;7060000
The French Connecton;77;15630000
Drty Harry;77;35900000
The Odd Couple;77;44530000
The Drty Dozen;77;45300000
Belle de Jour;77;30000
A Man for All Seasons;77;28350000
Goldfnger;77;51080000
The Brds;77;11400000
Peepng Tom;77;80000
